sample_no,printer_type,material,layer_thickness_mm,infill_density_pct,infill_pattern,speed_mm_s,roughness_avg_um,hardness_avg,peak_load_n,peak_stress_kpa,strain_at_break,modulus_mpa,width_mm,thickness_mm,roughness_valid
1,closed,PLA+,0.1,20,grid,30,2.579,54.3,518.848,24755.06666666667,0.01366666666666667,2128.810666666667,6.116666666666667,3.426666666666666,True
2,closed,PLA+,0.1,20,grid,50,2.8363333333333336,60.9,477.1443333333333,22743.13333333333,0.013,2068.996,6.063333333333333,3.46,True
3,closed,PLA+,0.1,20,grid,70,3.2716666666666665,62.4,481.243,21676.16666666667,0.01233333333333333,2009.842333333333,6.383333333333333,3.48,True
4,closed,PLA+,0.1,20,triangles,30,2.570333333333333,61.5,465.9886666666666,21275.93333333333,0.012,2065.603,6.246666666666667,3.506666666666666,True
5,closed,PLA+,0.1,20,triangles,50,2.7176666666666667,63.8,475.511,22436.36666666667,0.01233333333333333,2050.737666666667,6.173333333333333,3.433333333333334,True
6,closed,PLA+,0.1,20,triangles,70,2.9309999999999996,60.5,471.5756666666666,21910.1,0.012,2067.504666666666,6.149999999999999,3.5,True
7,closed,PLA+,0.1,20,zigzag,30,1.8126666666666666,65.6,504.5393333333333,23589.33333333333,0.01266666666666667,2070.138,6.223333333333334,3.436666666666667,True
8,closed,PLA+,0.1,20,zigzag,50,2.3993333333333333,67.5,500.8093333333333,22762.36666666667,0.01266666666666667,2067.729666666667,6.333333333333333,3.473333333333333,True
9,closed,PLA+,0.1,20,zigzag,70,2.576,65.3,477.9963333333333,22296.36666666667,0.01233333333333333,2072.126666666667,6.233333333333333,3.44,True
10,closed,PLA+,0.1,50,grid,30,3.8669999999999995,81.2,481.4756666666667,22987.13333333333,0.013,2074.749,6.036666666666666,3.47,True
11,closed,PLA+,0.1,50,grid,50,2.496333333333333,77.0,520.9356666666666,24862.86666666667,0.012,2367.778,6.073333333333333,3.450000000000001,True
12,closed,PLA+,0.1,50,grid,70,2.638,80.5,535.485,25339.4,0.013,2348.896666666667,6.096666666666667,3.466666666666667,True
